"diet_type","Meanc14_0","SDc14_0","Meanc16_0","SDc16_0","Meanc16_1w7","SDc16_1w7","Meanc16_3w3","SDc16_3w3","Meanc16_3w4","SDc16_3w4","Meanc16_4w1","SDc16_4w1","Meanc18_0","SDc18_0","Meanc18_1w9","SDc18_1w9","Meanc18_2w6","SDc18_2w6","Meanc18_3w3","SDc18_3w3","Meanc18_4w3","SDc18_4w3","Meanc20_1w9","SDc20_1w9","Meanc20_5w3","SDc20_5w3","Meanc22_0","SDc22_0","Meanc22_6w3","SDc22_6w3"
"Ulothrix",-5.67300215684921,-1.48518792359822,-2.96145728631746,-5.5417881975172,-14.5244378958413,-3.4699549571401,0.0183325054444444,-0.00179878143040762,-1.94274342031746,-0.30594062331093,0.107899542166667,0.105852580161288,-1.80706608718254,-2.41826736480002,-0.504327946642857,-2.62463291034918,-3.26132940823016,-1.77717335345628,-1.95000313824603,-0.614644904745372,0.0218053433015873,0.0130570970809178,1.14939169011905,-0.0721983729754026,23.6926929997302,-0.619550546223554,0.044924513547619,-0.0374564874041142,0,0
"Diatom",-5.67300215684921,-1.48518792359822,-2.96145728631746,-5.5417881975172,-14.5244378958413,-3.4699549571401,0.0183325054444444,-0.00179878143040762,-1.94274342031746,-0.30594062331093,0.107899542166667,0.105852580161288,-1.80706608718254,-2.41826736480002,-0.504327946642857,-2.62463291034918,-3.26132940823016,-1.77717335345628,-1.95000313824603,-0.614644904745372,0.0218053433015873,0.0130570970809178,1.14939169011905,-0.0721983729754026,23.6926929997302,-0.619550546223554,0.044924513547619,-0.0374564874041142,0,0
"Draparnaldia",-5.67300215684921,-1.48518792359822,-2.96145728631746,-5.5417881975172,-14.5244378958413,-3.4699549571401,0.0183325054444444,-0.00179878143040762,-1.94274342031746,-0.30594062331093,0.107899542166667,0.105852580161288,-1.80706608718254,-2.41826736480002,-0.504327946642857,-2.62463291034918,-3.26132940823016,-1.77717335345628,-1.95000313824603,-0.614644904745372,0.0218053433015873,0.0130570970809178,1.14939169011905,-0.0721983729754026,23.6926929997302,-0.619550546223554,0.044924513547619,-0.0374564874041142,0,0
