"site","distance_weighted_population"
"OS-1",233.207898459228
"KD-1",300.633859955097
"KD-2",325.488354793388
"BGO-2",363.703579983439
"BGO-3",398.837801050839
"MS-1",412.516903131163
"OS-3",537.304338242133
"BGO-1",601.355244041759
"BK-3",639.410773534142
"SM-1",893.949712280086
"BK-2",1227.77097321179
"EM-1",1383.15983230906
"BK-1",1653.72718512439
"OS-2",1753.55392669872
"LI-1",2179.96269397058
"LI-2",5937.41261953222
"LI-3",11824.7481757471
